ds,yhat,yhat_lower,yhat_upper
2020-01-31,1788867.4805109368,1643459.6755386805,1928639.4716312522
2020-02-29,1798153.3353419036,1663258.5709526693,1931605.5135236133
2020-03-31,1940902.7648122525,1794489.582232155,2078192.776214184
2020-04-30,1872400.6155193413,1743307.9955472145,2008050.1450566016
2020-05-31,1747591.9636357112,1610933.7604013968,1882658.2366513663
2020-06-30,1503766.9363265752,1363563.2570401519,1647383.040839238
2020-07-31,1343839.4688646398,1215401.949848688,1481473.5058688005
2020-08-31,1183696.086843775,1038605.0186726622,1320023.0131962218
2020-09-30,1106143.4877299725,956783.5264110026,1253963.0813374582
2020-10-31,1170150.5918061724,1025195.1198168924,1310651.6773298953
2020-11-30,1265325.2372319263,1125469.05987658,1404870.6988912309
2020-12-31,1497978.771557766,1355137.072638785,1640015.6309944626
2021-01-31,1539507.5150018865,1396393.2476918055,1675293.5918921882
2021-02-28,1550635.9320941577,1413240.6244020339,1694173.4635515478
2021-03-31,1711745.529701721,1566054.0615310883,1848245.8384363477
2021-04-30,1623485.309192269,1473831.5795215976,1761615.3406044573
2021-05-31,1497667.8974473604,1360128.2364021763,1641435.9027744906
2021-06-30,1271526.243064724,1133157.4909114572,1416326.2171914312
2021-07-31,1099707.9844111893,965388.7138290446,1244098.4208489384
2021-08-31,942322.2337963551,799775.6079039604,1093525.2466567028
2021-09-30,862837.9043479385,726391.1235963985,1001621.5210953584
2021-10-31,924862.1032010103,782867.5728605244,1065739.1493807347
2021-11-30,1030459.326629549,890841.7680928685,1166357.1837763737
2021-12-31,1242697.5565531063,1095324.5697496338,1371158.5396077856
2022-01-31,1298688.7963110073,1170208.1464047914,1438218.591954145
2022-02-28,1303303.5847186956,1165453.316559602,1441630.9847419073
2022-03-31,1482499.3539568149,1342669.012926101,1634368.3293166542
2022-04-30,1374319.7979033156,1235073.5847520598,1515197.651614201
2022-05-31,1247889.3229220046,1100017.558388619,1377637.0827003375
2022-06-30,1039406.0865569945,901754.3379966,1167917.9213231131
2022-07-31,855526.4354614003,714715.1326482676,992404.045486025
2022-08-31,700992.6206473756,562050.0808327997,837143.6721395229
2022-09-30,619598.3986161212,486899.66893201636,763956.1221393923
2022-10-31,679733.7695461491,533579.1211872078,825318.5634792704
2022-11-30,795566.1107048253,660692.2545259288,932806.3192081206
2022-12-31,1006153.0004935035,865514.330996423,1147903.5741240198
2023-01-31,1095585.7870361838,941441.9836649759,1241225.0707589898
2023-02-28,1110718.7404514318,971758.3391322633,1253490.61608217
2023-03-31,1326464.0966525835,1184372.1829969424,1461221.8493087399
2023-04-30,1216371.0061304192,1081733.253811754,1359712.4090978722
2023-05-31,1108471.8420299077,967760.224089186,1251496.9163394163
2023-06-30,935754.7180788134,787297.2507771235,1083870.7725276928
2023-07-31,758404.1358897676,619643.3519860009,893108.4778577136
2023-08-31,625569.097247435,481384.5020291664,762713.8788572655
2023-09-30,560393.5516819425,424591.156046778,702711.757226899
2023-10-31,637442.856092273,501213.0245935017,775267.3911121421
2023-11-30,781424.4007511125,646429.7860678441,919475.0894961555
2023-12-31,971638.2345923232,833175.6940047987,1117715.6985575287
2024-01-31,1075980.2678414078,937646.1922656945,1216284.7196228483
2024-02-29,1102832.1189080125,964524.4820171081,1239629.6217459831
2024-03-31,1264361.0068891223,1118003.3640870363,1414567.2723904273
2024-04-30,1214032.5271074623,1078501.452214995,1351045.111858414
2024-05-31,1108003.333718872,975275.5662002143,1251486.3946671195
2024-06-30,882351.9759701391,752317.3676350262,1027602.7976591082
2024-07-31,741203.9670537944,610598.7210789373,881630.7879310512
2024-08-31,599840.043591077,466682.66589348426,742776.1454901202
2024-09-30,540461.1140620762,398843.37668253545,675200.3815772199
2024-10-31,623247.676706191,480117.5884767568,754341.5153277616
2024-11-30,736595.9916949917,602293.8035490818,889998.2717106603
2024-12-31,988028.9845692974,845215.5538505809,1130902.7709982577
2025-01-31,1048337.1865835557,908202.9447379389,1182497.872771064
2025-02-28,1076427.6952877264,944026.6086185004,1210419.3167660425
2025-03-31,1256316.7514737067,1116966.5797030448,1400415.7267988292
2025-04-30,1186230.200556188,1050619.2522303306,1337276.5847842603
2025-05-31,1079192.2473896195,937939.3853692402,1217655.88425993
2025-06-30,871224.2626429665,733648.048819742,1011267.7000018017
2025-07-31,718185.4626132529,583587.3999574704,861770.3076317782
2025-08-31,579579.1706397096,436552.261771464,715302.3568173028
2025-09-30,518268.51084412483,377736.8094330391,655894.6975868635
2025-10-31,599072.1683516281,457812.05998055317,739897.1515906607
2025-11-30,722843.0614458668,592076.3610624088,857298.1992977038
2025-12-31,953860.7500300483,801678.982164599,1098482.9898000637
2026-01-31,1028631.4484486349,883078.3012518092,1173863.2844496192
2026-02-28,1050208.3285498593,912506.2775990217,1184453.5840133831
2026-03-31,1248179.3677354448,1115609.1616487422,1393673.3270215965
2026-04-30,1158169.4277602888,1017814.9452851448,1307077.646669201
2026-05-31,1050512.7527166468,905609.3672672719,1203629.8504583007
2026-06-30,860197.709839776,718975.5421140584,1001340.7302364977
2026-07-31,695091.321642451,546786.1735483242,839586.6340124385
2026-08-31,559330.76972653,421988.37464140175,701990.983326992
2026-09-30,496089.26253896893,348333.52482754824,633132.6382043881
2026-10-31,574982.43880742,426938.44679279963,726654.6195183041
2026-11-30,708967.4948097883,572614.7068508556,848804.2917645614
2026-12-31,919573.8175346822,769204.8807713059,1058205.275076298
