Actual,Predicted
352,342.935
598,459.19
498,608.535
320,396.445
282,254.71
97,167.165
529,587.305
643,526.63
595,595.97
491,607.125
500,582.805
539,383.15
473,541.04
228,404.16
316,403.27
297,406.12
257,227.33
282,220.25
273,287.01
389,416.58
469,425.925
361,401.785
182,231.055
271,301.495
463,466.075
298,258.24
314,321.215
586,531.055
576,418.115
601,642.805
405,346.85
296,448.84
425,539.73
441,402.04
229,223.525
239,350.885
296,359.36
759,895.945
298,244.84
410,507.79
556,561.165
351,398.21
632,599.7
323,336.85
316,380.61
251,302.81
378,335.3
679,747.025
669,454.68
350,303.7
269,209.695
288,397.255
922,742.71
513,438.345
553,521.17
3488,3477.655
384,339.595
300,308.12
683,845.905
573,453.025
265,270.075
208,360.595
229,416.605
299,223.555
171,299.18
219,231.57
816,788.5
335,345.865
858,729.64
320,238.235
516,499.805
573,606.67
475,538.39
488,388.7
627,527.945
354,274.61
561,598.32
720,862.62
312,329.785
757,838.47
268,287.665
317,412.025
370,319.43
733,614.38
494,629.34
504,409.455
449,416.07
533,467.68
559,577.635
208,229.94
231,234.45
341,229.435
330,329.38
313,292.785
342,245.975
251,265.905
620,697.655
426,462.59
4568,4543.55
372,410.54
359,335.535
316,450.9
252,232.455
150,185.23
138,260.755
531,586.025
120,198.83
353,381.095
651,537.515
564,407.595
192,284.825
537,467.04
1133,922.245
468,508.19
523,479.11
471,439.49
471,374.415
293,410.09
480,376.76
396,531.915
314,272.52
126,205.105
497,530.23
359,436.56
482,363.325
321,362.4
488,402.35
486,508.59
505,376.77
597,417.955
230,231.29
441,375.1
259,183.47
348,275.955
538,416.405
301,245.49
165,147.41
369,414.95
474,478.945
687,634.52
162,181.17
575,457.4
367,405.375
472,475.855
682,632.25
182,223.015
435,409.05
249,279.79
422,384.52
293,289.145
271,233.4
279,281.52
497,392.125
327,450.235
149,224.76
964,845.635
506,616.52
513,365.775
543,578.355
292,304.875
481,421.505
220,245.795
514,376.065
304,399.79
1516,1459.085
273,235.54
676,670.66
711,783.66
276,238.68
173,243.635
211,181.915
455,515.345
118,177.06
323,341.56
438,335.815
753,721.785
460,596.65
168,274.43
384,366.335
439,400.78
371,434.39
194,244.925
357,432.715
222,242.155
527,504.61
151,268.215
220,254.2
327,251.705
400,411.255
347,494.015
439,493.01
318,354.935
260,233.91
454,495.225
292,337.985
239,200.31
359,428.155
489,490.01
249,384.9
546,438.185
242,330.425
242,271.865
255,253.455
468,505.095
329,255.385
435,527.805
470,552.24
298,246.255
318,373.28
231,230.425
520,507.35
1016,927.465
483,536.015
152,253.755
601,458.785
513,487.155
199,326.89
451,352.655
300,294.59
595,499.785
363,423.41
294,297.025
568,524.31
571,450.675
472,367.09
329,276.33
572,569.155
381,398.315
613,461.95
445,613.485
308,277.66
552,444.71
474,447.015
656,592.075
731,637.915
393,362.085
586,460.48
273,308.455
787,788.435
69,234.58
335,364.9
276,322.675
338,311.15
643,527.995
334,320.39
416,324.04
312,474.06
223,210.37
402,437.635
460,411.915
369,330.94
237,273.575
321,340.51
354,327.3
500,378.675
723,632.75
355,280.895
450,483.285
238,237.76
162,232.275
307,319.115
610,583.26
235,250.35
653,626.045
439,385.175
203,159.21
412,335.565
298,252.565
488,423.805
336,404.94
302,469.77
313,250.46
378,327.245
278,372.6
504,439.825
428,551.04
303,246.66
254,318.57
363,402.445
397,283.5
196,181.82
361,492.255
524,509.895
3928,3668.245
301,303.55
307,217.555
965,893.025
220,246.995
299,293.545
310,281.1
494,454.565
536,619.005
271,323.67
245,326.345
288,434.285
657,743.975
747,848.98
379,321.99
204,270.3
748,725.125
334,335.38
637,686.455
597,563.1
294,494.78
264,374.35
290,223.16
1455,1360.675
371,523.495
541,409.355
552,512.11
331,242.315
728,574.68
411,408.53
277,352.205
485,483.015
729,584.655
325,275.135
573,390.18
578,562.87
461,360.265
202,260.13
669,543.905
872,833.045
238,293.63
839,595.335
410,422.175
312,407.08
168,236.265
366,290.005
421,521.635
198,280.955
307,280.505
394,315.43
207,252.925
288,275.47
399,394.775
563,458.94
374,291.755
313,243.715
290,293.225
293,378.97
265,393.475
684,718.035
432,412.885
288,366.735
578,478.26
547,574.305
582,583.58
129,226.935
205,360.64
428,358.135
261,303.04
587,406.86
295,294.16
783,801.57
250,315.95
509,437.795
316,257.53
766,868.04
475,499.79
472,418.7
396,364.145
451,367.005
205,233.59
324,373.845
281,333.7
430,493.815
441,433.315
330,405.405
378,303.46
512,487.26
743,686.475
223,269.555
545,575.1
427,396.88
397,319.63
515,681.33
548,450.825
566,517.825
486,403.585
143,227.685
395,491.845
477,440.49
388,483.5
388,482.71
569,576.965
281,367.67
273,323.705
647,766.295
515,477.945
554,401.385
326,243.49
257,305.66
309,353.895
614,576.93
331,369.725
762,861.98
181,260.115
215,368.11
571,546.62
837,882.615
418,486.475
331,317.26
908,703.895
362,386.23
459,345.66
407,433.17
352,333.785
285,449.75
313,260.685
338,206.475
272,300.405
217,357.98
355,416.4
559,500.525
257,205.55
481,376.795
233,290.255
419,474.525
530,396.79
188,241.405
478,467.375
257,203.36
281,247.715
597,498.9
